Company Name,Industry,Symbol,Series,ISIN Code
SK Square Co. Ltd.,Financials,402340.KS,EQ,KR7402340004
Samsung Life Insurance Co. Ltd.,Financials,032830.KS,EQ,KR7032830002
KB Financial Group Inc.,Financials,105560.KS,EQ,KR7105560007
Shinhan Financial Group Co. Ltd.,Financials,055550.KS,EQ,KR7055550008
SK Inc.,Financials,034730.KS,EQ,KR7034730002
Hana Financial Group Inc.,Financials,086790.KS,EQ,KR7086790003
MIRAE ASSET SECURITIES CO. LTD. Cum Pfd Registered Shs Non-Voting,Financials,006805.KS,EQ,KR7006801005
MIRAE ASSET SECURITIES CO. LTD.,Financials,006800.KS,EQ,KR7006800007
Samsung Fire & Marine Insurance Co. Ltd,Financials,000810.KS,EQ,KR7000810002
Samsung Fire & Marine Insurance Co Ltd Pfd Non-Voting,Financials,000815.KS,EQ,KR7000811000
Woori Financial Group Inc.,Financials,316140.KS,EQ,KR7316140003
Meritz Financial Group Inc.,Financials,138040.KS,EQ,KR7138040001
Industrial Bank Of Korea,Financials,024110.KS,EQ,KR7024110009
KOREA INVESTMENT HOLDINGS CO LTD Pfd Registered Shs Non-Voting,Financials,071055.KS,EQ,KR7071051007
KOREA INVESTMENT HOLDINGS CO LTD,Financials,071050.KS,EQ,KR7071050009
NH INVESTMENT & SECURITIES CO.LTD. Pfd Registered Shs 1 Non-Voting,Financials,005945.KS,EQ,KR7005941000
NH INVESTMENT & SECURITIES CO.LTD.,Financials,005940.KS,EQ,KR7005940002
Samsung Securities Co. Ltd.,Financials,016360.KS,EQ,KR7016360000
KakaoBank Corp.,Financials,323410.KS,EQ,KR7323410001
Kiwoom Securities Co. Ltd,Financials,039490.KS,EQ,KR7039490008
DB INSURANCE CO. LTD,Financials,005830.KS,EQ,KR7005830005
BNK Financial Group Inc.,Financials,138930.KS,EQ,KR7138930003
Samsung Card Co. Ltd,Financials,029780.KS,EQ,KR7029780004
JB Financial Group Co. Ltd.,Financials,175330.KS,EQ,KR7175330000
HANWHA LIFE INSURANCE Co. Ltd.,Financials,088350.KS,EQ,KR7088350004
Seoul Guarantee Insurance Company,Financials,031210.KS,EQ,KR7031210008
Hyosung Corporation,Financials,004800.KS,EQ,KR7004800009
iM Financial Group Co. Ltd.,Financials,139130.KS,EQ,KR7139130009
Hyundai Marine & Fire Insurance Co. Ltd.,Financials,001450.KS,EQ,KR7001450006
Mirae Asset Life Insurance Co. Ltd.,Financials,085620.KS,EQ,KR7085620003
Korean Reinsurance Company,Financials,003690.KS,EQ,KR7003690005
Mirae Asset Venture Investment Co. Ltd.,Financials,100790.KS,EQ,KR7100790005
Daishin Securities Co. Ltd,Financials,003540.KS,EQ,KR7003540002
Daishin Securities Co Ltd Pfd Registered Shs Non-voting No.2,Financials,003547.KS,EQ,KR7003542008
Daishin Securities Co Ltd Pfd Non-Voting,Financials,003545.KS,EQ,KR7003541000
DAOU TECHNOLOGY Inc.,Financials,023590.KS,EQ,KR7023590003
SK REIT Co. Ltd.,Financials,395400.KS,EQ,KR7395400005
Shinyoung Securities Co. Ltd.,Financials,001720.KS,EQ,KR7001720002
HANWHA INVESTMENT&SECURITIES Co. Ltd.,Financials,003530.KS,EQ,KR7003530003
HANWHA INVESTMENT&SECURITIES CO LTD Pfd Registered Non-Voting,Financials,003535.KS,EQ,KR7003531001
Kyobo Securities Co. Ltd,Financials,030610.KS,EQ,KR7030610000
KB Balhae Infrastructure Fund,Financials,415640.KS,EQ,KR7415640002
TongYang Life Insurance Co. Ltd.,Financials,082640.KS,EQ,KR7082640004
AJU IB INVESTMENT CO. LTD.,Financials,027360.KS,EQ,KR7027360007
LOTTE rental co. ltd.,Financials,089860.KS,EQ,KR7089860001
HDC HOLDINGS CO. Ltd.,Financials,012630.KS,EQ,KR7012630000
Yuanta Securities Korea Co. Ltd. Pfd Registered Shs 1 Non-Voting,Financials,003475.KS,EQ,KR7003471000
Yuanta Securities Korea Co. Ltd.,Financials,003470.KS,EQ,KR7003470002
LOTTE REIT Co. Ltd.,Financials,330590.KS,EQ,KR7330590001
ESR Kendall Square REIT Co. Ltd.,Financials,365550.KS,EQ,KR7365550003
Hanwha REIT Co. Ltd.,Financials,451800.KS,EQ,KR7451800007
Hanwha General Insurance Co. Ltd,Financials,000370.KS,EQ,KR7000370007
Shinhan Alpha REIT Co. Ltd.,Financials,293940.KS,EQ,KR7293940003
LX Holdings Corp.,Financials,383800.KS,EQ,KR7383800000
SK Securities Co. Ltd.,Financials,001510.KS,EQ,KR7001510007
Sk Securities Co Ltd Pfd Shs Non-Voting,Financials,001515.KS,EQ,KR7001511005
NHN KCP Corp.,Financials,060250.KS,EQ,KR7060250008
Hyundai Motor Securities Co. Ltd.,Financials,001500.KS,EQ,KR7001500008
Lotte Non-Life Insurance Co. Ltd,Financials,000400.KS,EQ,KR7000400002
FIBERPRO Inc.,Financials,368770.KS,EQ,KR7368770004
Mirae Asset Maps Realty Real Estate Public Investment Company,Financials,094800.KS,EQ,KR7094800000
Bookook Securities Co. Ltd,Financials,001270.KS,EQ,KR7001270008
Bookook Securities Co. Ltd Non-Cum Pfd Registered Shs Non-Voting,Financials,001275.KS,EQ,KR7001271006
SamsungFN REIT Co. Ltd.,Financials,448730.KS,EQ,KR7448730002
DB Securities Co. Ltd,Financials,016610.KS,EQ,KR7016610008
Woori Technology Investment Co. Ltd.,Financials,041190.KS,EQ,KR7041190000
NICE Holdings Co. Ltd.,Financials,034310.KS,EQ,KR7034310003
Eugene Investment & Securities Co. Ltd.,Financials,001200.KS,EQ,KR7001200005
INCAR FINANCIAL SERVICE Co. Ltd.,Financials,211050.KS,EQ,KR7211050000
Jeju Bank,Financials,006220.KS,EQ,KR7006220008
KORAMCO THE ONE REIT,Financials,417310.KS,EQ,KR7417310000
KORAMCO LIFE INFRA REIT Co. Ltd,Financials,357120.KS,EQ,KR7357120005
LS SECURITIES Co. Ltd.,Financials,078020.KS,EQ,KR7078020005
DSC INVESTMENT INC.,Financials,241520.KS,EQ,KR7241520006
Hanyang Securities Co Ltd Pfd Registered Shs Non-Voting,Financials,001755.KS,EQ,KR7001751007
HANYANG SECURITIES Co. Ltd.,Financials,001750.KS,EQ,KR7001750009
Korea Information & Communication Co. Ltd.,Financials,025770.KS,EQ,KR7025770009
Korea Real Estate Investment Trust Co. Ltd.,Financials,034830.KS,EQ,KR7034830000
KOREA ASSET IN TRUST CO. LTD,Financials,123890.KS,EQ,KR7123890006
KGINICIS Co. Ltd.,Financials,035600.KS,EQ,KR7035600006
E KOCREF CR-REIT,Financials,088260.KS,EQ,KR7088260005
Heungkuk Fire & Marine Insurance Co. Ltd,Financials,000540.KS,EQ,KR7000540005
Heungkuk Fire & Marine Insurance Co Ltd Pfd Registered Shs Non-Voting,Financials,000545.KS,EQ,KR7000541003
Han Kook Capital Co. Ltd.,Financials,023760.KS,EQ,KR7023760002
IGIS Value Plus REIT Co. Ltd.,Financials,334890.KS,EQ,KR7334890001
KB STAR REIT,Financials,432320.KS,EQ,KR7432320000
Daol Investment & Securities Co. Ltd.,Financials,030210.KS,EQ,KR7030210009
A Plus Asset Advisor Co. Ltd.,Financials,244920.KS,EQ,KR7244920005
Dongwon Development Co. Ltd.,Financials,013120.KS,EQ,KR7013120001
D&D Platform REIT Co. Ltd.,Financials,377190.KS,EQ,KR7377190004
Shinhan Seobu T&D REIT Co. Ltd.,Financials,404990.KS,EQ,KR7404990004
AJ Networks Co. Ltd.,Financials,095570.KS,EQ,KR7095570008
Haesung Industrial Co. Ltd,Financials,034810.KS,EQ,KR7034810002
Dozn Inc.,Financials,462860.KS,EQ,KR7462860008
Chinyang Holdings Corporation,Financials,100250.KS,EQ,KR7100250000
Yuhwa Securities Co. Ltd.,Financials,003460.KS,EQ,KR7003460003
Yuhwa Securities Co Ltd Pfd Non-Voting,Financials,003465.KS,EQ,KR7003461001
REFINE Co. Ltd.,Financials,377450.KS,EQ,KR7377450002
Nau IB Capital,Financials,293580.KS,EQ,KR7293580007
NH All-One REIT Co. Ltd.,Financials,400760.KS,EQ,KR7400760005
SV INVESTMENT Corp.,Financials,289080.KS,EQ,KR7289080004
Chemtros Co. Ltd.,Financials,220260.KS,EQ,KR7220260004
Company K Partners Limited,Financials,307930.KS,EQ,KR7307930008
Atinum Investment Co. Ltd,Financials,021080.KS,EQ,KR7021080007
IGIS RESIDENCE REIT Co. Ltd.,Financials,350520.KS,EQ,KR7350520003
