Company Name,Industry,Symbol,Series,ISIN Code
PT Ekamas Mora Republik Tbk,Communication Services,MORA.JK,EQ,ID1000170608
Telkom Indonesia,Communication Services,TLKM.JK,EQ,ID1000129000
PT Indoritel Makmur Internasional Tbk,Communication Services,DNET.JK,EQ,ID1000063605
PT Indosat Tbk Class B,Communication Services,ISAT.JK,EQ,ID1000097405
PT XLSMART Telecom Sejahtera Tbk,Communication Services,EXCL.JK,EQ,ID1000102502
Telkom Towers Mitratel,Communication Services,MTEL.JK,EQ,ID1000164205
Tower Bersama,Communication Services,TBIG.JK,EQ,ID1000116908
Sarana Menara Nusantara,Communication Services,TOWR.JK,EQ,ID1000128804
PT Sinergi Inti Andalan Prima Tbk,Communication Services,INET.JK,EQ,ID1000192404
PT Link Net Tbk,Communication Services,LINK.JK,EQ,ID1000131808
PT Centratama Telekomunikasi Indonesia Tbk,Communication Services,CENT.JK,EQ,ID1000076805
PT Remala Abadi Tbk,Communication Services,DATA.JK,EQ,ID1000203904
PT Gihon Telekomunikasi Indonesia,Communication Services,GHON.JK,EQ,ID1000142300
PT MNC Vision Network,Communication Services,MSKY.JK,EQ,ID1000123607
PT Jasnita Telekomindo Tbk,Communication Services,JAST.JK,EQ,ID1000148604
