Company Name,Industry,Symbol,Series,ISIN Code
Itau Unibanco,Financials,ITUB4,EQ,
Bradesco,Financials,BBDC4,EQ,
Banco do Brasil,Financials,BBAS3,EQ,
Santander Brasil,Financials,SANB11,EQ,
BTG Pactual,Financials,BPAC11,EQ,
XP Inc,Financials,XPBR31,EQ,
B3 SA,Financials,B3SA3,EQ,
BB Seguridade,Financials,BBSE3,EQ,
Porto Seguro,Financials,PSSA3,EQ,
Petrobras PN,Energy,PETR4,EQ,
Petrobras ON,Energy,PETR3,EQ,
Cosan SA,Energy,CSAN3,EQ,
Ultrapar,Energy,UGPA3,EQ,
PetroRio,Energy,PRIO3,EQ,
Raizen Energia,Energy,RAIZ4,EQ,
Eneva SA,Utilities,ENEV3,EQ,
Equatorial Energia,Utilities,EQTL3,EQ,
CPFL Energia,Utilities,CPFE3,EQ,
Cemig,Utilities,CMIG4,EQ,
Vale SA,Materials,VALE3,EQ,
Gerdau SA,Materials,GGBR4,EQ,
Usiminas,Materials,USIM5,EQ,
CSN Mineracao,Materials,CMIN3,EQ,
Braskem,Materials,BRKM5,EQ,
Suzano SA,Materials,SUZB3,EQ,
Klabin SA,Materials,KLBN11,EQ,
Ambev SA,Consumer Staples,ABEV3,EQ,
Minerva Foods,Consumer Staples,BEEF3,EQ,
M Dias Branco,Consumer Staples,MDIA3,EQ,
Magazine Luiza,Consumer Discretionary,MGLU3,EQ,
Lojas Renner,Consumer Discretionary,LREN3,EQ,
Localiza Rent,Consumer Discretionary,RENT3,EQ,
Grupo Fleury,Health Care,FLRY3,EQ,
Hapvida,Health Care,HAPV3,EQ,
Rede D Or,Health Care,RDOR3,EQ,
DASA,Health Care,DASA3,EQ,
Blau Farmaceutica,Health Care,BLAU3,EQ,
TOTVS SA,Technology,TOTS3,EQ,
Positivo Tecnologia,Technology,POSI3,EQ,
Locaweb,Technology,LWSA3,EQ,
Meliuz SA,Technology,CASH3,EQ,
PagSeguro,Technology,PAGS34,EQ,
WEG SA,Industrials,WEGE3,EQ,
Randon SA,Industrials,RAPT4,EQ,
Tupy SA,Industrials,TUPY3,EQ,
Cyrela Realty,Real Estate,CYRE3,EQ,
MRV Engenharia,Real Estate,MRVE3,EQ,
EZTec,Real Estate,EZTC3,EQ,
Multiplan,Real Estate,MULT3,EQ,
Iguatemi,Real Estate,IGTI11,EQ,
TIM SA,Communication Services,TIMS3,EQ,
Telefonica Brasil,Communication Services,VIVT3,EQ,
Oi SA,Communication Services,OIBR3,EQ,
Itausa,Financials,ITSA4,EQ,
Banco Inter,Financials,INBR32,EQ,
Vibra Energia,Energy,VBBR3,EQ,
Auren Energia,Utilities,AURE3,EQ,
Energias do Brasil,Utilities,ENBR3,EQ,
Engie Brasil,Utilities,EGIE3,EQ,
Sabesp,Utilities,SBSP3,EQ,
Sao Martinho,Consumer Staples,SMTO3,EQ,
JBS,Consumer Staples,JBSS3,EQ,
Marfrig,Consumer Staples,MRFG3,EQ,
BRF SA,Consumer Staples,BRFS3,EQ,
Raia Drogasil,Consumer Staples,RADL3,EQ,
Assai,Consumer Staples,ASAI3,EQ,
Grupo Pao de Acucar,Consumer Staples,PCAR3,EQ,
Natura & Co,Consumer Staples,NTCO3,EQ,
Vivara,Consumer Discretionary,VIVA3,EQ,
Arezzo,Consumer Discretionary,ARZZ3,EQ,
Cogna Educacao,Consumer Discretionary,COGN3,EQ,
Yduqs,Consumer Discretionary,YDUQ3,EQ,
Embraer,Industrials,EMBR3,EQ,
Rumo SA,Industrials,RAIL3,EQ,
CCR SA,Industrials,CCRO3,EQ,
Ecorodovias,Industrials,ECOR3,EQ,
Azul SA,Industrials,AZUL4,EQ,
Gol Linhas Aereas,Industrials,GOLL4,EQ,
StoneCo,Technology,STOC31,EQ,
Direcional Engenharia,Real Estate,DIRR3,EQ,
JHSF Participacoes,Real Estate,JHSF3,EQ,
