Company Name,Industry,Symbol,Series,ISIN Code
DBS Group Holdings,Financials,D05.SI,EQ,
Oversea-Chinese Banking,Financials,O39.SI,EQ,
United Overseas Bank,Financials,U11.SI,EQ,
Singapore Telecommunications,CommServices,Z74.SI,EQ,
Singapore Airlines,Industrials,C6L.SI,EQ,
Singapore Exchange,Financials,S68.SI,EQ,
Wilmar International,Consumer Staples,F34.SI,EQ,
Keppel Corporation,Industrials,BN4.SI,EQ,
CapitaLand Investment,RealEstate,9CI.SI,EQ,
CapitaLand Integrated,RealEstate,C38U.SI,EQ,
Ascendas REIT,RealEstate,A17U.SI,EQ,
Mapletree Logistics,RealEstate,M44U.SI,EQ,
Mapletree Industrial,RealEstate,ME8U.SI,EQ,
Mapletree Pan Asia,RealEstate,N2IU.SI,EQ,
Frasers Logistics,RealEstate,BUOU.SI,EQ,
Genting Singapore,ConsumerDisc,G13.SI,EQ,
Jardine Cycle & Carriage,ConsumerDisc,C07.SI,EQ,
Jardine Matheson,Industrials,J36.SI,EQ,
Hongkong Land,RealEstate,H78.SI,EQ,
Thai Beverage,Consumer Staples,Y92.SI,EQ,
City Developments,RealEstate,C09.SI,EQ,
UOL Group,RealEstate,U14.SI,EQ,
Sembcorp Industries,Utilities,U96.SI,EQ,
Singapore Technologies,Industrials,S63.SI,EQ,
SATS Ltd,Industrials,S58.SI,EQ,
ComfortDelGro,Industrials,C52.SI,EQ,
SIA Engineering,Industrials,S59.SI,EQ,
Venture Corporation,Technology,V03.SI,EQ,
Yangzijiang Shipbuilding,Industrials,BS6.SI,EQ,
Singapore Press,CommServices,T39.SI,EQ,
Suntec REIT,RealEstate,T82U.SI,EQ,
Keppel DC REIT,RealEstate,AJBU.SI,EQ,
Frasers Centrepoint,RealEstate,J69U.SI,EQ,
Dairy Farm International,Consumer Staples,D01.SI,EQ,
Olam Group,Consumer Staples,VC2.SI,EQ,
